year,state,district,total_votes,D,O,R,dPct,rPct,oPct,ID,INC,IncPct,Open,Challenge,Winner,Dreg,Rreg,Oreg,Dcont,Rcont,Ocont,Midterm?,PVI (0 to 100),PVI (-100 to 100),ID2,PresApprov,PresDisapp,PresApprovDiff,ECI,PresYrsIncumb,PresParty,Pres_Incumbent_SameParty,PrevElectionR%,PrevElectionD%,PrevElectionIncumbParty%,PrevElection2R%,PrevElection2D%,PrevElection2IncumbParty%,PrevPresR%,PrevPresD%,PrevPresImcumb%,PrevPresParty,PrevPresSameAsInc?,YearsIncumbPartyControl,TermsDemControl,TermsRepControl,Age 25 to 44,Age 65 and over,Race White,Race Black or African American,Race American Indian and Alaska Native,Race Asian,Race Native Hawaiian and Other Pacific Islander,Race Some other race,Race Two or more races,Race Hispanic or Latino,Unemployment Rate,Delta unemployment Rate,Median household income,PercentDelta median household income,Percent below poverty level,INC_DW_NOM,Sabato,SabatoNum,PVI2,demoScore
2006,AZ,3,189849,72586,4744,112519,0.382335435,0.592676285,0.02498828,2006AZ3,R,0.592676285,0,1,R,#N/A,#N/A,#N/A,107712.1,1167478.28,0,1,65,30,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,1,0.801030207,0,0.801030207,0.673170638,0.30287446,0.673170638,58,41,58,R,1,12,0,12,42.7,18.2,82.6,2.5,2.6,1.3,0.1,8.3,2.5,18.1,6.147085333,-2.047085333,40567,0.364828555,10.5,0.749,R,5,22,0
2006,AZ,4,77861,56464,2770,18627,0.725189761,0.23923402,0.035576219,2006AZ4,D,0.725189761,0,1,D,#N/A,#N/A,#N/A,763935.99,0,0,1,37.5,-25,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,0,0.256646096,0.701191526,0.701191526,0.27822599,0.673836373,0.673836373,38,62,62,D,1,2,2,0,49.2,11,81.6,3.1,1.8,2.4,0.1,8.2,2.9,18.8,4.728844576,0.671155424,44556,-0.18217524,11.1,-0.421,D,-5,-21,0
2006,AZ,5,202010,101838,6357,93815,0.504123558,0.464407703,0.031468739,2006AZ5,R,0.464407703,0,1,D,#N/A,#N/A,#N/A,1936352.38,3000386.7,0,1,52.5,5,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,1,0.594965803,0.381941516,0.594965803,0.611676442,0.362512661,0.611676442,54,45,54,R,1,11,0,11,42.7,16,82.1,3.1,1.2,2.1,0.1,8.4,3,20.5,7.453634059,-3.653634059,39289,0.460536028,11.5,0.559,D Toss-up,-1,4,0
2006,AZ,6,203486,0,51285,152201,0,0.747967919,0.252032081,2006AZ6,R,0.747967919,0,1,R,#N/A,#N/A,#N/A,0,272424.81,0,1,74.5,49,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,1,0.793819475,0,0.793819475,0.659434427,0.31569622,0.659434427,64,35,64,R,1,6,0,6,42.8,13.6,73,1.5,15.6,1.2,0.1,6.5,2.2,14.2,6.532545858,-2.932545858,43487,0.296755352,14.2,0.855,R,5,37,0
2006,AZ,7,131525,80354,4673,46498,0.610940886,0.353529747,0.035529367,2006AZ7,D,0.610940886,0,1,D,#N/A,#N/A,#N/A,662762.57,180161.33,0,1,42.5,-15,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,0,0.336679264,0.620553247,0.620553247,0.370590842,0.590032557,0.590032557,43,57,57,D,1,13,13,0,28.1,11.2,60.5,3.2,6,1.8,0.1,25.2,3.1,54.5,5.2,3.2,38660,-0.022684946,16.1,-0.596,D,-5,-13,0
2006,AZ,8,253720,137655,9275,106790,0.542546902,0.420897052,0.036556046,2006AZ8,R,0.420897052,1,1,D,#N/A,#N/A,#N/A,3305402.21,2939827.22,79553.81,1,51.5,3,2006AZ,#N/A,#N/A,#N/A,#N/A,6,R,1,0.60362644,0.361995464,0.60362644,0.633294749,0.335921129,0.633294749,53,46,53,R,1,2,0,2,24.5,17.4,82,3.5,0.9,2.5,0.2,8,2.9,20.3,3,1.6,48586,-0.018338616,7.3,0.351,Likely D,-3,3,0
2006,AR,1,184188,127577,0,56611,0.692645558,0.307354442,0,2006AR1,D,0.692645558,0,1,D,#N/A,#N/A,#N/A,1320299.4,93110.74,0,1,41,-18,2006AR,#N/A,#N/A,#N/A,#N/A,6,R,0,0.334322631,0.665677369,0.665677369,0.331637964,0.668362036,0.668362036,52,47,47,R,0,10,10,0,40.7,14.4,80,17.7,0.4,0.3,0,0.5,1,1.6,6.809255464,1.790744536,28925,0.130579084,18.9,-0.293,D,-5,-12,0
2006,AR,2,206303,124871,0,81432,0.605279613,0.394720387,0,2006AR2,D,0.605279613,0,1,D,#N/A,#N/A,#N/A,643535.85,127675.94,0,1,45,-10,2006AR,#N/A,#N/A,#N/A,#N/A,6,R,0,0.418292687,0.581692846,0.581692846,0,0.929217711,0.929217711,51,48,48,R,0,11,11,0,38.9,12.2,76.6,19.5,0.5,0.9,0,1.1,1.3,2.4,7.202213599,-1.702213599,37221,0.125816072,12.7,-0.268,D,-5,-7,0
2006,AR,3,200924,75885,0,125039,0.377680118,0.622319882,0,2006AR3,R,0.622319882,0,1,R,#N/A,#N/A,#N/A,361158.24,651616.09,0,1,55.5,11,2006AR,#N/A,#N/A,#N/A,#N/A,6,R,1,0.593158126,0.380933742,0.593158126,0.988976268,0,0.988976268,62,36,62,R,1,14,0,14,39.4,14,90.8,1.8,1.3,1.3,0.1,2.8,1.8,5.8,5.599239492,-0.199239492,32958,0.190515201,13.8,0.402,R,5,11,0
2006,AR,4,171596,128236,0,43360,0.747313457,0.252686543,0,2006AR4,D,0.747313457,0,1,D,#N/A,#N/A,#N/A,1254483.3,0,0,1,37.5,-25,2006AR,#N/A,#N/A,#N/A,#N/A,6,R,0,0,1,1,0.39437675,0.60562325,0.60562325,51,48,48,R,0,3,3,0,39.7,15.6,70.1,26.6,0.5,0.4,0,1.3,1.1,2.7,6.826995084,2.173004916,29976,0.076994929,18.6,-0.201,D,-5,-17,0
2006,CA,1,218005,144409,10402,63194,0.662411413,0.289874085,0.047714502,2006CA1,D,0.662411413,0,1,D,#N/A,#N/A,#N/A,1382643.27,100139.68,0,1,39.5,-21,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.282608465,0.669206385,0.669206385,0.324016284,0.640705987,0.640705987,38,60,60,D,1,4,4,0,40.8,12.9,76.6,4.6,2.8,3.6,0.3,7.4,4.6,16.5,8.413815844,-1.313815844,41683,0.112275988,12.7,-0.394,D,-5,-18,0
2006,CA,2,210202,68234,7057,134911,0.324611564,0.641815967,0.033572468,2006CA2,R,0.641815967,0,1,R,#N/A,#N/A,#N/A,169079.73,711853.77,0,1,58,16,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.668500784,0.331499216,0.668500784,0.657859597,0.293069252,0.657859597,62,37,62,R,1,14,0,14,36.1,15.3,86.3,1.6,2.4,2.5,0.1,3.4,3.7,8.5,9.553422446,-0.253422446,34365,0.2232504,16.4,0.551,R,5,14,0
2006,CA,3,228169,86318,6142,135709,0.378307307,0.594774049,0.026918644,2006CA3,R,0.594774049,0,1,R,#N/A,#N/A,#N/A,313769.39,648140.16,794,1,56,12,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.619138686,0.348430539,0.619138686,0.624529289,0.344432018,0.624529289,58,41,58,R,1,4,0,4,39.8,11.5,73.2,3.8,1.3,6.4,0.3,9.9,5.1,19.5,8.456295945,-2.656295945,41288,0.532915133,14.4,0.497,R,5,10,0
2006,CA,4,276893,126999,14076,135818,0.458657315,0.490507163,0.050835521,2006CA4,R,0.490507163,0,1,R,#N/A,#N/A,#N/A,1697342.46,2542705.36,0,1,54.5,9,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.65393716,0.34606284,0.65393716,0.647672271,0.318853772,0.647672271,61,37,61,R,1,7,0,7,37.4,13.2,87.7,1.6,1.1,2.7,0.2,3.5,3.3,9.2,5.26860754,0.53139246,51784,0.189324888,7.5,0.519,Leans R,2,9,0
2006,CA,5,149266,105676,8484,35106,0.707971005,0.235190867,0.056838128,2006CA5,D,0.707971005,0,1,D,#N/A,#N/A,#N/A,2617047.89,63161,12632,1,37,-26,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.233314545,0.713615703,0.713615703,0.264094301,0.704722674,0.704722674,38,61,61,D,1,13,13,0,44,10.9,52.6,13.6,1.2,15.5,0.8,9.8,6.5,19.9,7.454081714,1.545918286,40402,0.088089699,17.4,-0.435,D,-5,-22,0
2006,CA,6,246628,173190,9028,64410,0.702231701,0.261162561,0.036605738,2006CA6,D,0.702231701,0,1,D,#N/A,#N/A,#N/A,2162621.76,18102,0,1,38.5,-23,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.273509868,0.726490132,0.726490132,0.296101888,0.666863903,0.666863903,28,70,70,D,1,13,13,0,39.9,13,82.6,2.1,0.9,3.8,0.2,6.6,3.9,14.4,4.070497161,1.029502839,58848,0.143981104,7.6,-0.556,D,-5,-23,0
2006,CA,7,140486,118000,22486,0,0.839941346,0,0.160058654,2006CA7,D,0.839941346,0,1,D,#N/A,#N/A,#N/A,719641.83,0,0,1,32.5,-35,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.239176931,0.760823069,0.760823069,0.264381107,0.707124068,0.707124068,32,67,67,D,1,13,13,0,45.3,10.4,50.5,16.5,0.7,15.1,0.6,10.5,6.1,21.6,6.496160259,0.203839741,52420,0.16140786,10.4,-0.552,D,-5,-30,0
2006,CA,8,184639,148435,16404,19800,0.803920082,0.107236283,0.088843635,2006CA8,D,0.803920082,0,1,D,#N/A,#N/A,#N/A,1853047.23,371248.48,32091.98,1,30.5,-39,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.115061615,0.829495971,0.829495971,0.125049083,0.795831489,0.795831489,14,85,85,D,1,13,13,0,50.3,13,49.5,9.1,0.5,28.4,0.6,7.6,4.4,16.1,4.8688587,1.2311413,52198,0.182899728,12.3,-0.492,D,-5,-38,0
2006,CA,9,193686,167245,5655,20786,0.863485229,0.10731803,0.029196741,2006CA9,D,0.863485229,0,1,D,#N/A,#N/A,#N/A,1054313.37,38771.55,0,1,30.5,-39,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.122640067,0.845478535,0.845478535,0.151770041,0.814135169,0.814135169,13,86,86,D,1,13,13,0,45.8,10.8,41.3,26.2,0.6,17.4,0.4,8.9,5.2,17.3,7.121888288,1.578111712,43718,0.170478979,17.5,-0.685,D,-5,-39,0
2006,CA,10,196978,130859,50,66069,0.664333073,0.335413092,0.000253835,2006CA10,D,0.664333073,0,1,D,#N/A,#N/A,#N/A,830583.69,5372,0,1,41.5,-17,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.342859917,0.657140083,0.657140083,0,0.755934616,0.755934616,40,59,59,D,1,5,5,0,52.5,11,77.2,3.7,0.5,9.3,0.3,4.6,4.4,12.1,3.480039267,2.619960733,76832,-0.032460433,4.5,-0.308,D,-5,-15,0
2006,CA,11,206264,109868,0,96396,0.532657177,0.467342823,0,2006CA11,R,0.467342823,0,1,D,#N/A,#N/A,#N/A,2968676.96,5203829.18,0,1,52,4,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.612279119,0.387720881,0.612279119,0.603146773,0.396853227,0.603146773,54,45,54,R,1,7,0,7,43.8,10.6,60.4,6.6,1.1,11,0.4,14.5,6,27.8,9.668794317,-3.268794317,42945,0.746606124,16.4,0.461,D Toss-up,-1,4,0
2006,CA,12,182324,138650,0,43674,0.760459402,0.239540598,0,2006CA12,D,0.760459402,0,1,D,#N/A,#N/A,#N/A,706335.84,0,0,1,36.5,-27,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.208207475,0.680335235,0.680335235,0.247644918,0.6813413,0.6813413,27,72,72,D,1,7,7,0,43.4,13.8,52.9,2.7,0.4,30.9,1,6.8,5.2,15.9,3.249781889,1.450218111,68182,0.159176909,5.8,-0.376,D,-5,-26,0
2006,CA,13,147897,110756,0,37141,0.748872526,0.251127474,0,2006CA13,D,0.748872526,0,1,D,#N/A,#N/A,#N/A,645577.57,24063.49,0,1,37.5,-25,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.239890848,0.716146414,0.716146414,0.22064092,0.71072309,0.71072309,28,71,71,D,1,13,13,0,44.7,9.9,44.5,7.4,0.6,30.1,0.9,10.3,6.2,22.1,5.095303315,1.104696685,64476,0.100331906,6.9,-0.631,D,-5,-24,0
2006,CA,14,198575,141153,9325,48097,0.710829661,0.242210752,0.046959587,2006CA14,D,0.710829661,0,1,D,#N/A,#N/A,#N/A,1069190.57,0,6809,1,38,-24,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.265625,0.697672287,0.697672287,0.281608593,0.681828772,0.681828772,30,68,68,D,1,7,7,0,46.9,11.7,64.9,3.2,0.4,18.9,0.8,8.1,3.8,17.2,3.44972299,1.35027701,80000,0.0881875,6.2,-0.382,D,-5,-23,0
2006,CA,15,159718,115532,0,44186,0.723349904,0.276650096,0,2006CA15,D,0.723349904,0,1,D,#N/A,#N/A,#N/A,763245.86,46274.94,0,1,38.5,-23,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.279712417,0.720287583,0.720287583,0.310106599,0.657650614,0.657650614,36,63,63,D,1,3,3,0,46.8,10.7,69.5,2.1,0.5,17.6,0.3,5.4,4.6,13.3,3.323968918,2.376031082,77298,0.061929157,5.6,-0.529,D,-5,-20,0
2006,CA,16,136059,98929,0,37130,0.727103683,0.272896317,0,2006CA16,D,0.727103683,0,1,D,#N/A,#N/A,#N/A,622374.33,0,0,1,38.5,-23,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.263285806,0.708916453,0.708916453,0.298020114,0.670179468,0.670179468,36,63,63,D,1,13,13,0,47.4,7.5,41.3,3.6,1,26.9,0.4,21.7,5.1,39.8,5.067977844,2.032022156,65593,0.071562514,10.4,-0.401,D,-5,-20,0
2006,CA,17,156682,120750,0,35932,0.770669254,0.229330746,0,2006CA17,D,0.770669254,0,1,D,#N/A,#N/A,#N/A,678908.43,0,0,1,38.5,-23,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.291710158,0.66729981,0.66729981,0.27016129,0.680741614,0.680741614,33,66,66,D,1,8,8,0,47.6,10,61.2,2.7,1.1,5,0.3,24.8,4.9,42.6,9.302384512,0.497615488,49441,0.138528751,13.2,-0.455,D,-5,-21,0
2006,CA,18,108713,71182,0,37531,0.654769899,0.345230101,0,2006CA18,D,0.654769899,0,1,D,#N/A,#N/A,#N/A,952162.28,138769.54,0,1,41.5,-17,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.3251228,0.6748772,0.6748772,0.433677333,0.512633106,0.512633106,50,49,49,R,0,12,12,0,45.9,10.1,65,3.1,1.2,4.9,0.3,20.1,5.4,36.4,12.14725474,-0.34725474,38481,0.04893324,17.7,-0.262,D,-5,-12,0
2006,CA,19,181994,71748,0,110246,0.394232777,0.605767223,0,2006CA19,R,0.605767223,0,1,R,#N/A,#N/A,#N/A,886089.01,1197709.12,0,1,58,16,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.660339023,0.272234596,0.660339023,0.673052306,0.300395432,0.673052306,61,38,61,R,1,6,0,6,42.2,10.9,63.7,4.5,1.8,7.2,0.1,18,4.8,32.9,9.39835151,-1.09835151,37915,0.33601477,18.4,0.484,R,5,14,0
2006,CA,20,61120,61120,0,0,1,0,0,2006CA20,D,1,0,0,D,#N/A,#N/A,#N/A,722341.45,49715.54,0,1,48,-4,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.465973949,0.534026051,0.534026051,0.342757791,0.636980072,0.636980072,48,51,51,D,1,7,7,0,44.8,7.6,43,5.9,1.6,4.7,0.1,40.3,4.5,63.7,19.90630356,-7.006303561,29149,0.105080792,29.5,-0.186,D,-5,-4,0
2006,CA,21,142661,42718,4729,95214,0.299437127,0.66741436,0.033148513,2006CA21,R,0.66741436,0,1,R,#N/A,#N/A,#N/A,154341.22,991879.87,0,1,60.5,21,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.731721395,0.268278605,0.731721395,0.704874475,0.262355271,0.704874475,65,34,65,R,1,14,0,14,41.7,10.7,68.1,4.5,1.6,3,0.2,18.3,4.3,31.4,10.42426536,-1.524265358,37168,0.218871072,18.4,0.449,R,5,19,0
2006,CA,22,188504,55226,0,133278,0.29296991,0.70703009,0,2006CA22,R,0.70703009,1,1,R,#N/A,#N/A,#N/A,27673,1789961.68,0,1,60,20,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,1,0,1,0.733317101,0.237319293,0.733317101,68,31,68,R,1,2,0,2,43.4,13.4,77.3,2.2,1.1,3.6,0.2,11.6,4,27,7.372709823,-0.272709823,45031,0.124492017,13.8,0.371,R,5,19,0
2006,CA,23,175951,114661,18,61272,0.651664384,0.348233315,0.000102301,2006CA23,D,0.651664384,0,1,D,#N/A,#N/A,#N/A,922780.48,83660.91,2424,1,42.5,-15,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.343540854,0.630298366,0.630298366,0.385915597,0.590252863,0.590252863,40,58,58,D,1,2,2,0,41.7,10.1,66.9,2.1,1,5.3,0.2,20.3,4.2,37.7,6.802660415,-1.202660415,56174,-0.069533948,10.1,-0.389,D,-5,-14,0
2006,CA,24,209289,79461,16,129812,0.379671172,0.620252378,7.64E-05,2006CA24,R,0.620252378,0,1,R,#N/A,#N/A,#N/A,169352.95,1102062.97,0,1,56.5,13,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.628248317,0.338974886,0.628248317,0.651789672,0.317584295,0.651789672,56,43,56,R,1,2,0,2,42.8,12,75.5,2.9,0.5,7.8,0.1,8.9,4.4,19.8,5.418560168,-0.418560168,59889,0.244452237,9.2,0.402,R,5,10,0
2006,CA,25,156773,55913,6873,93987,0.356649423,0.59951012,0.043840457,2006CA25,R,0.59951012,0,1,R,#N/A,#N/A,#N/A,230519.08,1371670.86,0,1,56.5,13,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.644222684,0.355777316,0.644222684,0.649650946,0.311044267,0.649650946,59,40,59,R,1,7,0,7,41,8.5,67.4,7.9,0.8,7.6,0.2,11.6,4.6,25,7.836249163,-0.336249163,54788,0.073282471,11.3,0.396,R,5,11,0
2006,CA,26,179144,67878,9238,102028,0.378901889,0.569530657,0.051567454,2006CA26,R,0.569530657,0,1,R,#N/A,#N/A,#N/A,178643.49,2627133.66,0,1,53.5,7,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,1,0.535797171,0.428021512,0.535797171,0.637731559,0.334922758,0.637731559,55,44,55,R,1,2,0,2,44.1,7.3,46.4,5.1,1,6.6,0.1,35.1,5.7,65.4,9.442209432,-3.442209432,35920,1.023969933,20.9,0.478,R,5,6,0
2006,CA,27,134724,92650,0,42074,0.687702265,0.312297735,0,2006CA27,D,0.687702265,0,1,D,#N/A,#N/A,#N/A,851909.58,54566.34,0,1,41.5,-17,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.332736906,0.622749729,0.622749729,0.380371242,0.619628758,0.619628758,39,59,59,D,1,3,3,0,43.2,12.7,62.5,6.6,0.5,13.2,0.1,10.2,6.9,23.1,6.368798907,-1.668798907,48289,0.15140094,12.8,-0.344,D,-5,-15,0
2006,CA,28,108042,79866,7547,20629,0.739212528,0.190935007,0.069852465,2006CA28,D,0.739212528,0,1,D,#N/A,#N/A,#N/A,977093.67,0,68715.72,1,36.5,-27,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.233019506,0.709513261,0.709513261,0.231558369,0.713963572,0.713963572,28,71,71,D,1,2,2,0,40.3,11.8,56.9,4.8,0.7,19.4,0.2,13.7,4.4,31.6,5.891024764,0.008975236,55132,-0.156823623,9.1,-0.404,D,-5,-26,0
2006,CA,29,143389,91014,13054,39321,0.634734882,0.274226056,0.091039062,2006CA29,D,0.634734882,0,1,D,#N/A,#N/A,#N/A,963710.46,0,45741,1,40.5,-19,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.303971339,0.646273304,0.646273304,0.334175299,0.625599592,0.625599592,37,61,61,D,1,13,13,0,51.7,14.4,76.5,3.3,0.3,9.8,0.1,5.4,4.6,12.1,6.836555567,-1.336555567,50182,0.090271412,12.9,-0.347,D,-5,-17,0
2006,CA,30,211734,151284,4546,55904,0.714500269,0.264029395,0.021470335,2006CA30,D,0.714500269,0,1,D,#N/A,#N/A,#N/A,553054.46,21825,0,1,38.5,-23,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.287574758,0.712425242,0.712425242,0.296288114,0.703711886,0.703711886,33,66,66,D,1,13,13,0,51.7,8,34.7,3,1,19.6,0.1,36,5.5,64.3,10.6891781,-4.889178102,27383,1.71098857,27.4,-0.473,D,-5,-21,0
2006,CA,31,64952,64952,0,0,1,0,0,2006CA31,D,1,0,0,D,#N/A,#N/A,#N/A,767144.93,0,0,1,34.5,-31,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0.197897874,0.802102126,0.802102126,0.188480585,0.811519415,0.811519415,22,77,77,D,1,13,13,0,47,10,34.9,1.3,1.1,28.2,0.1,30.2,4.2,59.4,8.443639123,-1.143639123,37683,-0.084016665,20,-0.512,D,-5,-30,0
2006,CA,32,91686,76059,15627,0,0.829559584,0,0.170440416,2006CA32,D,0.829559584,0,1,D,#N/A,#N/A,#N/A,882870.62,0,0,1,24.5,-51,2006CA,#N/A,#N/A,#N/A,#N/A,6,R,0,0,0.850141995,0.850141995,0.274638865,0.687948848,0.687948848,37,62,62,D,1,13,13,0,47.8,10.6,31.8,32.9,0.7,7.8,0.2,21.6,5,37.1,10.13693567,-3.236935672,35063,0.408664404,22.5,-0.508,D,-5,-39,0
